	SRR2660032	SRR2661579	SRR2665516	SRR2669446	SRR2674135	SRR2675767	SRR2681702	SRR2689710	SRR2689711	SRR2700736	SRR2712420	SRR2751521	SRR2753064	SRR2755094	SRR2757338	SRR2770872	SRR2771207	SRR2771286	SRR2771617	SRR2771707	SRR2772780	SRR2774182	SRR2774280	SRR2775133	SRR2777065	SRR2777217	SRR2777976	SRR2778056	SRR2778078	SRR2778361	SRR2778466	SRR2778609	SRR2779097	SRR2779183	SRR2779596	SRR2780123	SRR2780275	SRR2780299	SRR3184279	SRR3184280	SRR3184281	SRR3184282	SRR3184283	SRR3184284	SRR3184285	SRR3184286	SRR3184287	SRR3184288	SRR3184289	SRR3184290	SRR3184291	SRR3184292	SRR3184293	SRR3184294	SRR3184295	SRR3184296	SRR3184297	SRR3184298	SRR3184300	SRR3184301	SRR3184302	SRR3184303	SRR3184304	SRR3184305	SRR3184306	SRR5088818	SRR5088821	SRR5088822	SRR5088824	SRR5088826	SRR5088827	SRR5088829	SRR5088831	SRR5088834	SRR5088836	SRR5088839	SRR5088840	SRR5088843	SRR5088846	SRR5088849	SRR5088850	SRR5088853	SRR5088857	SRR5088861	SRR5088866	SRR5088867	SRR5088872	SRR5088878	SRR5088880	SRR5088883	SRR5088885	SRR5088887	SRR5088890	SRR5088891	SRR5088895	SRR5088897	SRR5088898	SRR5088900	SRR5088904	SRR5088906	SRR5088908	SRR5088909	SRR5088911	SRR5088913	SRR5088914	SRR5088916	SRR5088920	SRR5088922	SRR5088924	SRR5088926	SRR5088929	SRR6450190	SRR6450191	SRR6450192	SRR6450193	SRR6450194	SRR6450195	SRR6450196	SRR6450197	SRR6450198	SRR6450199	SRR6450200	SRR6450201	SRR6450202	SRR6450203	SRR6450204	SRR6450205	SRR6450206	SRR6468265	SRR6468300	SRR6468301	SRR6468306	SRR6468318	SRR6468320	SRR6468324	SRR6468325	SRR6468327	SRR6468329	SRR6468331	SRR6468333	SRR6468345	SRR6511551	SRR7526841	SRR7526866
SELL	4.336581272	0.153798757	19.82069801	0	0.518119599	0.242790011	23.76918703	1.22004467	0.162798689	1.24708495	4.24388981	0.691576515	1.700631472	2.262846095	7.467032265	3.721124703	5.227846635	7.917913037	0.546079806	1.154679307	10.77327685	5.400695032	26.44830723	0.351094405	0.330860623	2.259065906	0.135094542	7.364852979	21.16360815	5.46925924	1.622603704	2.61281038	3.975932878	9.398675744	0.209110795	1.44172013	1.030075002	4.244486272	2.879824544	2.031516666	3.46457087	0.796945193	2.133240224	0.253182338	2.084750777	1.864573309	3.993241594	0.729291085	2.084332703	1.277231546	1.561289714	10.81797955	0.693620417	3.551231192	4.244686155	2.388527982	2.606545725	1.778866145	2.34299695	2.501093615	0.986858424	0.726119261	1.093378848	0.603437063	89.63713932	3.851048845	3.538014493	1.486924364	5.592920694	0.796771006	2.790420265	0.107818658	1.083901455	154.1447718	2.252092071	1.934896045	0.704613275	3.52876983	25.84235405	0.774463831	0.130441107	1.067953995	2.911860615	0.949039028	10.24001417	3.274732692	1.370973231	2.291583838	3.419790128	3.392136608	0.867253431	1.300001316	0.174025609	21.59302439	0.15619221	1.847585032	2.9702342	0.946837274	2.099138272	4.618804027	5.645386736	1.503113672	0.616208274	3.900746673	2.082488539	2.661313937	1.217152788	1.379888839	2.681734189	2.337911038	2.856674839	0.914876516	1.316283839	3.392918209	3.863786401	0.84022313	0.960337331	2.323023596	0.792011129	0.882386474	1.078842301	0.920442808	0.568727231	1.682472895	0.3351189	1.506225198	1.960273904	1.432166725	1.168392647	3.543930173	4.960806693	17.33370708	1.016989615	11.14277091	0.941902989	41.59615525	2.740439758	8.230532987	2.516048828	1.467134575	3.636843383	7.549979369	1.20068351	1.038735501
LAMP3	0.398238011	0.076401716	1.563947518	0.052877881	0.567653505	0.218325321	1.984891526	0.304663989	1.085040177	0.24316205	1.694453106	0.164617925	0.377712821	0.314485909	1.098531282	0.223506983	1.730200694	0.391485564	0.154913546	0.148791843	2.590037667	0.613416485	6.793410918	0.227211374	0.063855969	0.337085658	0.108529666	2.081730145	3.95111622	1.845240024	1.939844266	0.425861126	1.716859531	2.289318251	0.036820039	0	0.500817053	0.432997345	1.672301182	0.335725339	0.232348326	0.047245821	0.195100373	0.201759123	0.282264475	0.643429073	0.571765696	0.29412249	0.619525154	0.502410985	0.319891136	0.595114852	0.108665678	1.055851473	1.086342742	1.048905587	0.217841018	0.515871751	3.749711319	8.577563291	0.452596589	0.339957279	0.371925718	0.134843687	4.250570262	0.591778248	0.887229266	0.277616224	1.518496376	0.141401575	0.674831335	0.055435065	1.086798287	5.48632926	1.321866688	1.206445729	0.587854159	0.394268403	3.835277035	0.234230182	0.034154195	0.085086191	1.495389442	0.040374057	0.712827142	1.185480362	0.574546107	0.694525674	0.128108439	0.193123444	1.374196159	0.268936522	0.045784212	1.790296128	0.081391593	0.255102407	0.519014653	1.002270866	0.660394883	0.404506182	0.198709962	10.72389525	0.571386685	1.064384726	0.489262999	2.638444723	0.278133446	0.628042226	0.917752973	0.355039526	0.246252954	0.358524866	1.150547673	1.026358005	1.276297989	0.516395254	0.587244519	0.141323418	0.191072292	0.148776181	1.000861154	0.291297585	0.780401442	0.825997855	0.960650343	0.795003672	0.285880513	1.127986937	0.083833957	0.264770704	5.468609175	1.111218796	0.068697507	1.354835394	0.11544825	7.234181919	0.454290574	0.377926684	0.027483086	1.333409187	0.465571323	1.976491352	0.249160815	0.576924053
BCL6	3.411045707	3.157669541	6.897496523	2.055879187	2.599180052	1.951886249	2.463775901	8.941051757	7.53461547	0.576357014	3.221020057	2.377978932	2.393537666	1.864919601	4.491576589	1.24918634	2.576815865	5.887077902	1.663233987	1.294849866	3.255401402	4.105990895	5.474624459	2.73400984	1.366513436	5.211377033	1.836633385	2.294236866	4.042311125	2.665408965	1.838559349	2.671758611	4.586470092	6.061702243	4.98217658	1.846052866	3.567119646	1.982614487	3.000172531	3.277827755	2.341282283	1.78584257	2.566767582	4.078352567	3.373354729	2.649466589	8.700742615	2.108645067	6.387640292	3.826751109	1.221357577	5.681778253	1.969939602	2.03357969	3.737181561	1.953474642	1.189944639	3.722746858	7.094429963	1.99454619	1.805655578	2.937212571	1.128962456	2.821972473	6.462584322	3.414571885	2.072521118	1.887072745	4.576805199	1.674611585	6.259423841	2.60654964	6.973986453	7.578845979	3.759560566	2.886462015	0.931641336	1.235651851	4.948401354	3.796595914	2.691729943	2.162891554	3.986037316	2.603867301	6.50732878	1.817626797	0.837091503	3.370915512	2.591606962	2.330884655	2.913099609	1.365993423	2.742624745	3.962891934	4.494402302	5.594424135	5.345532773	2.015794351	3.971139398	5.375373219	3.313179214	2.885349364	1.669265908	1.436643314	3.09869457	4.288799138	2.037634293	1.635297924	2.467729993	1.957671841	3.676920347	5.481022846	5.723660506	2.259870213	1.452501285	5.02209603	3.203991847	7.077486026	5.000042039	5.480680718	3.850701114	2.817594892	4.104256819	3.25247752	6.42618265	3.974514327	7.890389809	3.994145136	1.275044174	3.616727959	2.76731237	3.822927874	0.807274216	1.595783208	3.222501872	3.167711306	2.489557877	2.372877959	0.25830306	3.439853096	1.827735708	0.94204544	1.601208603	5.614287443
CXCL13	37.62853881	0.025467239	12.90772516	0.070503841	5.946846244	1.147278159	3.235645091	1.596368035	0.022963813	0.732644098	37.81272572	1.603235442	1.619224584	1.240898328	2.592040103	1.065609051	0.139512223	11.31952546	2.628188433	0.578634946	6.05459935	8.599977654	7.868853059	0.961077998	0.051084775	0.577861128	0.016078469	17.68808644	60.97716278	9.384171491	1.813993072	0.333591215	0.18520599	56.79510853	0.196373539	0	1.043368861	7.162497756	1.561818822	3.063622053	1.130142257	0	0.079080685	1.069061325	0.63130119	2.122448116	8.010770171	0.223065375	7.449887391	0.436968734	2.189058948	1.283246061	0.694112546	14.42159035	2.957688397	5.59416313	1.736273597	4.669996908	6.244245009	4.694112044	0.769515454	0.265555854	1.554526406	0.95367709	130.621774	6.177278824	4.49153948	2.518580177	8.324539362	0.673340836	0.077233915	0.024637806	2.876922944	78.73404444	1.678138062	0.608657305	2.059150161	0.685684179	77.56366205	2.108071636	0	0.445389446	10.6605622	0.230708894	2.530300319	6.856659628	5.564316566	0.456674416	0.711713548	1.392941161	0.078176493	2.889905543	0.043604011	76.09587384	0.257237629	2.763609407	0.055361563	0.806059109	8.770323578	5.016253821	0.646034215	1.300262754	2.951069928	1.337220933	1.67379447	4.375236068	1.10326267	3.195555845	14.69288273	1.741771519	1.361991647	9.401318698	7.684014818	40.56077101	24.32546616	0.327870002	3.237070461	3.346897457	2.710678919	0.361730324	1.299363603	4.15285788	0.09555936	2.442951231	0	1.008043872	1.905870085	1.734593246	0	0.254508274	4.344341191	8.633529497	1.03373392	4.407060022	0.147238348	6.862998562	21.53969665	2.930741792	10.58098828	0.228584432	8.71600191	66.27834333	0.254046321	0.384616036
CCR6	0	0	0	0	0	0	0.021483293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05237417	0	0	0	0	0	0.008525173	0	0	0	0	0	0	0	0	0	0.006802059	0.005562455	0.01174915	0	0.005637505	0.004732072	0.004110961	0.006716816	0	0	0.014073454	0	0	0.005142371	0	0.008512628	0.017149431	0.008471757	0.006556881	0.007004852	0.02500152	0.011619234	0	0	0.004763717	0.005293972	0.733995823	0.008572698	0.010173354	0	0.016998027	0	0	0	0.01196779	0.916447633	0.006013205	0	0.008996974	0.010319336	0.091916709	0	0	0.005691204	0.009856271	0	0.002131357	0.002443988	0.009364703	0.011454682	0.002409991	0.011625794	0.003308997	0.007195399	0	0.112264192	0	0.010797786	0.003124404	0.009577059	0.023663666	0.007662831	0.017205753	0.002954983	0.011860957	0.005842673	0.005813098	0.014300522	0	0	0.014958736	0.002447284	0.010980833	0	0	0	0	0	0	0	0	0	0	0	0	0.006780553	0	0	0	0	0.003604786	0.016680213	0	0.052811056	0.004430899	0.083326965	0	0.1933683	0.009015736	0.047070458	0.01240836	0.017200627	0.014299398	0	0.006617283	0.01860542
CCL19	0.189744244	0.562835807	27.31871105	0.173129124	0.522723401	0.930324705	70.10686843	9.817597374	17.25531075	0.620372315	1.923103392	0.28120732	2.042872375	0.226024716	10.89629037	0.565475021	8.03853577	3.323459801	0.419757753	0.152238759	10.03664254	15.03321792	112.4469725	0.153914455	0.188165543	1.868343276	0.059223395	6.89617933	19.24242427	10.84509195	0.399620687	7.09798688	0.122793717	8.601426128	0.160738186	0	0.69176564	3.78789087	24.05632212	2.465656508	1.515391929	0.021093957	0.015330822	2.007494671	6.014564125	13.01447918	0.053486741	3.127527137	0.420990066	2.475031399	3.523306978	0.20976504	9.010479547	24.01377806	14.00967686	0.16587634	6.133864777	2.514498521	17.09462254	4.676465006	0.447541806	0.101187705	1.178869786	1.065348881	99.62245036	2.175869147	4.343524749	1.3774839	9.013876666	0.066138189	0.839225513	0.075625699	6.574213648	83.90943976	2.093121643	9.628275376	3.08280092	9.148456557	100.1942037	0.383450182	0.411720484	0.27858336	9.890482085	0	0.591200521	5.356888994	24.20354057	0.140176124	0	0.207759496	0.449929862	1.389286155	0.080305457	49.38147082	0	3.856454	2.51499672	4.010803361	8.636007804	8.446563521	0.213896713	3.150065182	1.032162767	7.658383696	3.256517022	3.748930492	2.475817221	2.605819187	1.415639365	3.127955885	2.986164807	0.919521689	0.277483161	0.495801272	25.8361777	3.091649554	0.619398329	8.576686733	2.890252446	3.846758029	7.146771	0.568579664	0.254210035	5.716171887	0.050369498	0.210532428	6.70538433	0.073863546	0.039211911	23.149095	2.166928871	27.45120437	1.470043295	2.925227873	0.320472093	3.97735539	15.51970244	78.93641076	0.151846705	1.847650612	0.855497853	34.86408645	8.943645266	0.101192415
CCL21	0.036820998	1.183234368	8.043801757	0.400361098	0.104657824	1.862978806	159.73592	1.832148854	12.48299469	0.273880278	0.205819743	5.941303513	4.205819536	0.401250947	1.261635846	0.214447078	53.53726555	1.108652255	0.441222638	22.65935524	1.670058214	2.10692827	34.13418517	29.76845486	0.685663834	0.63639771	0.174305221	1.312266465	12.64272588	1.401968611	0.04032536	1.461961888	0.309775059	30.97281391	0.025343663	4.251826141	0.430897789	0.726465514	4.744252125	6.054816288	0.660183067	1.037678883	0.135364186	0.335459847	0.319631703	2.06591884	42.6086727	2.128489433	23.7431004	3.7794958	2.564505407	0.19991244	2.99531312	1.271821092	5.529633532	0.147236195	1.719340884	0.184214725	1.894889461	18.63146172	0.539423495	0.59562763	0.250553993	0.629524339	303.1789012	13.81429651	4.10616508	3.912348174	6.025009636	0.431025582	0.621983778	0.05087547	7.663012308	231.0451706	2.62643655	17.38812668	3.127285782	56.63573217	154.6084541	0.940469669	0.70526194	1.002126252	10.05252127	0.095279777	0	0.726557525	16.22413257	0.746544053	0	1.063432992	0.454020134	2.435253195	0.108047342	116.142555	0.11204557	11.90170754	0.714487705	3.109911579	1.136393792	23.59809201	0.089933845	1.946144166	0.230550561	5.103903959	1.44897762	8.293324357	0.502536568	0.29813021	1.108325804	0.80588728	0.364108504	0.361939388	0.233338112	0.903334893	0.07666829	0.670259962	0.195321632	6.600773749	0.09469245	6.126191716	3.317618706	19.43341931	0.065774625	1.178436609	0	0	6.106807192	0.17080945	20.39420423	8.976614506	22.82994052	10.59309113	5.005486465	2.66772542	0.103649191	3.489312328	10.47351455	195.0267549	0.099313881	11.05294788	93.88770775	62.03615973	11.98484456	10.12614101
CXCR5	0	0.004112347	0.017768861	0	0	0	0.778596027	0	0.003708104	0	0.008175192	0	0	0.015413481	0.087696646	0.00583289	0.006436535	0.00481642	0.020701915	0	0.010192934	0.120300802	0.29970649	0	0	0.004147141	0	0.028169645	0.176843955	0.026051315	0.01681816	0.020629901	0	0.09696259	0.00352329	0	0.004492773	0.023306221	0.012974724	0.010610216	0.014407169	0	0.004032515	0	0.007841536	0.014413641	0	0.006971554	0.013422346	0	0.010128378	0.009808918	0.019587232	0.010825056	0.027805223	0	0	0.013361546	0	0.017730673	0.015695779	0.014786513	0.006814986	0.00757357	0.882338985	0	0.009702685	0.009859155	0.045932907	0	0	0	0.018262561	2.477302404	0	0	0.012871094	0.036907171	0.257336806	0	0	0	0.047001353	0	0	0.009323669	0	0	0.013790956	0.033263781	0	0.015440634	0	0.235554647	0	0.020596454	0	0	0.024825755	0.036541553	0	0.008454813	0	0.013930906	0.011088311	0	0	0	0.008560003	0.00933624	0.010472805	0	0.06635207	0.11592194	0.179861628	0.0423545	0.00678843	0.057956407	0.11189566	0	0.028353512	0.02894619	0.003429009	0.006466851	0	0.026849461	0.033958865	0	0	0.007954252	0	0.093540116	0.01267771	0.065022421	0	0.080475109	0.004299312	0.172088858	0	0.00820242	0	0.411356426	0	0
AICDA	0.047329463	0	0	0	0	0.001966598	0.187364263	0.275008346	0.021098695	0	0.215136143	0.017535962	0.011714262	0.031321777	0.018900912	0	0.013733684	0	0.091615667	0	0.026581798	0.13392353	0.088817513	0	0	0	0	0.002862181	0.06361175	0.004117474	0.01196168	0.039127273	0.040839259	0.038312933	0	0	0	0.016576223	0.016149158	0.011319551	0.022770882	0	0	0.009629728	0.027885912	0.031893555	0.013341637	0.01983368	0.014319683	0.00757506	0.031696134	0.017441138	0	0.015398338	0.020939372	0.029882592	0	0.011879015	0	0.009458019	0.011163402	0.01262004	0	0.017955318	1.113341542	0	0.010351347	0.028048743	0.034590849	0	0	0	0.032472476	3.886228864	0.024473648	0	0.036617539	0	0.237331959	0	0.01141098	0.023163111	0.033429052	0	0.008674588	0.02984098	0.01270473	0.023310187	0.039234495	0	0.008978376	0.00732129	0.0080125	0.316031808	0.007385775	0	0.025432551	0	0.041734655	0.045048755	0	0.008017822	0.056319555	0	0.035488824	0.007760386	0	0	0.040587878	0.00664027	0.011172954	0.024400408	0	0.164895704	0.002842757	0.120496173	0.27037781	0.082441361	0.4775053	0.005360494	0.274258109	0.059475205	0.019510675	0.009198914	0	0.071611132	0	0.03684878	0.053795218	0.003771567	0.233876614	0.010235245	0	0.005138476	0	0.281414223	0	0.005321556	0.021042427	0.233354252	0.007759776	0.013451562	0.017954823	0
CETP	1.343498456	0.270923783	2.643341755	16.00061852	0.862681642	0.2791201	2.954743915	1.144549122	0.62255063	0.491276853	1.546264009	0.772864937	0.551286671	18.86301822	0.830198744	0.243786819	23.3497005	1.146404922	0.454618031	0.851003708	0.761773948	1.46727091	2.600798297	5.477693659	7.86536481	0.46711134	6.930074612	1.150274028	2.889966278	1.015001707	0.458684049	1.115541688	0.34066177	3.193975609	0.32571165	0.237179898	1.422644702	0.866773463	0.861675701	5.68225163	14.57408518	0.286923348	0.262807782	0.585065639	2.258063391	2.362035163	0.684348105	0.350640754	1.707928339	2.376606925	1.739189758	0.484662879	0.171130716	0.770673911	12.70111031	0.951276277	1.86501166	1.075486704	0.897663338	0.814848795	1.690055235	0.779315191	1.820039253	0.794029813	21.039671	1.529056822	1.938275279	1.335720514	1.228809268	2.125819369	0.137820866	0.084548444	0.659790873	21.66387011	0.560644138	4.915908612	0.382947452	3.168748842	7.373959817	0.327472892	2.869756499	3.085683712	0.844039483	1.393415331	0.25919752	1.382059573	0.793402765	0.574621261	1.128368068	0.528503245	3.004676935	1.363609207	0.472843152	14.51728376	0.899302287	24.97145155	11.06960427	0.417343895	1.784220009	2.055331789	0.353718224	0.976261208	0.156263131	2.717801463	0.677483827	1.182593459	0.509044235	0.521878005	0.727661812	2.58431495	10.47172807	1.246737979	2.820201645	15.33559704	6.49380417	2.205267789	3.722071506	0.948391974	2.000304211	1.689815357	2.34999622	25.72729954	1.034791	4.796384247	3.466339479	1.897242788	3.951236055	3.9362362	0.116902274	2.13556599	0.357177512	1.452693021	13.92024722	0.038384538	0.900301347	0.06413403	0.210146652	0.357769344	0.150899939	0.348632371	0.712978289	0.29140213	5.351506133	2.224922731
