	Sigs160-Bindea_Tfh-cells	ERAP2	DCTN5	DHFR	FractionSubclonal	immune_DNDS	GPLD1	Escape	numLostAlleles	MHC_Class1	ITGB2	FCGR3B	PDCD1	TREX1	VAMP8	FCGR2B	CTSW	ERAP1	CTSS	NumLargeSubClones	FAM167A	LYZ	FPR1	VAMP3
Sigs160-Bindea_Tfh-cells	0.0	3.5839753	1.344199	4.0771985	2.162448	3.257127	5.135857	2.5582805	6.3555627	1.0912814	1.6548382	0.80510026	1.1169451	0.5060902	2.0193183	3.055197	0.9380593	0.5272875	1.5968648	0.33432242	0.9107432	1.0418755	0.51684654	0.14672005
ERAP2	3.5839767	0.0	4.331463	2.9767656	3.919449	2.5160685	2.2706888	1.8522475	2.3273385	3.158343	1.2545266	1.1676418	0.95559233	0.8662745	0.31110048	0.48189282	0.72456765	0.30900744	0.43826845	0.3396258	0.6166509	0.8499751	0.6303297	0.076615736
DCTN5	1.3441994	4.3314667	0.0	4.7105966	2.623669	3.3246615	0.9401276	2.9284956	1.2190591	0.846795	2.2534335	1.1916947	1.6645175	1.859719	0.5783303	0.68678194	0.71605253	1.1053902	1.2252934	0.38178802	0.80157775	0.112433255	0.19733432	0.12017058
DHFR	4.077197	2.9767652	4.7105994	0.0	3.4964175	2.133071	2.4301767	1.9958264	1.1296997	0.7098863	0.665286	1.2724824	0.3492979	0.7385052	0.27050623	0.28425935	0.82870483	1.2071835	0.2618225	0.47211012	0.72215486	0.36506006	0.23242663	0.05351241
FractionSubclonal	2.1624472	3.9194472	2.623669	3.496419	0.0	2.5114532	1.0227544	1.6035924	0.50873893	1.3963636	1.4352883	0.42282116	0.5032371	0.2224141	1.053936	0.2625518	0.33387476	0.49317145	0.584167	0.55332696	0.36921284	0.18190469	0.51404744	0.08401154
immune_DNDS	3.2571268	2.516068	3.3246627	2.1330712	2.511454	0.0	1.6127899	2.2260728	1.1269578	1.5088383	0.2627425	0.45840672	0.31910524	0.21030617	0.20441648	0.32428515	0.9600323	0.60659134	0.657099	0.75634	0.38978532	0.5658043	0.25081018	0.057708938
GPLD1	5.1358547	2.27069	0.94012696	2.4301755	1.022755	1.6127905	0.0	2.4128149	2.3375995	0.46458554	0.93851525	0.35322055	0.5399729	0.75498986	1.3698608	0.21813259	0.6106494	0.14749037	0.46561214	0.6049264	0.12045428	0.14031644	0.37135166	0.046612974
Escape	2.5582833	1.852249	2.9284966	1.9958258	1.6035912	2.226072	2.412813	0.0	1.099841	0.8445071	1.1298397	0.38301107	0.5020292	0.15470761	0.5467821	0.5925432	0.43322724	0.91365504	0.38796467	0.2791429	0.19704977	0.15632614	0.30844843	0.19634749
numLostAlleles	6.355561	2.327337	1.2190572	1.1296993	0.50873923	1.1269588	2.3376	1.0998409	0.0	0.45895022	1.3206341	0.85678566	0.32068837	0.124161676	0.19893853	0.13454548	0.14936224	0.27338395	0.2861129	0.16656803	0.15866478	0.1811309	0.13269964	0.078496836
MHC_Class1	1.0912824	3.158344	0.84679496	0.7098847	1.3963647	1.5088382	0.46458477	0.8445072	0.45895043	0.0	0.19794859	0.21213898	0.38119712	0.36692497	0.084482536	0.18443944	0.21481001	0.28432703	0.12645343	0.80881387	0.33634862	0.12729953	0.06555659	0.18246315
